stt,so bao danh,diem,ma de,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,ghi chu
1,225147,10|40,753,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Dung,Sai,Sai,Dung,Dung,Sai,Sai,Dung,Sai,Sai,Sai,Dung,Sai,Dung,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Sai,Sai,Dung,Sai,
1,225147,10|40,753,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Dung,Sai,Sai,Dung,Dung,Sai,Sai,Dung,Sai,Sai,Sai,Dung,Sai,Dung,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Sai,Sai,Dung,Sai,
1,225147,10|40,753,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Dung,Sai,Sai,Dung,Dung,Sai,Sai,Dung,Sai,Sai,Sai,Dung,Sai,Dung,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Sai,Sai,Dung,Sai,
1,229607,5|40,753,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Cau 25: khong to o nao
1,225147,10|40,753,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Dung,Sai,Sai,Dung,Dung,Sai,Sai,Dung,Sai,Sai,Sai,Dung,Sai,Dung,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Sai,Sai,Dung,Sai,
1,225147,10|40,753,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Dung,Sai,Sai,Dung,Dung,Sai,Sai,Dung,Sai,Sai,Sai,Dung,Sai,Dung,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Sai,Sai,Dung,Sai,
1,225147,10|40,753,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Dung,Sai,Sai,Dung,Dung,Sai,Sai,Dung,Sai,Sai,Sai,Dung,Sai,Dung,Sai,Sai,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Dung,Sai,Sai,Sai,Sai,Sai,Dung,Sai,
1,00112,33|40,753,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Sai,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Sai,Dung,Sai,Sai,"Khong to sbd ky tu thu 5; sbd khong du ky tu: du kien 6, thuc te 5; Cau 18: khong to o nao; Cau 19: khong to o nao; Cau 21: khong to o nao; Cau 36: khong to o nao; Cau 37: khong to o nao; Cau 39: khong to o nao; Cau 40: khong to o nao"
1,0112,39|40,753,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,"Khong to sbd ky tu thu 2; Khong to sbd ky tu thu 5; sbd khong du ky tu: du kien 6, thuc te 4; Cau 20: to nhieu o (a,d)"
1,11,23|40,753,Dung,Sai,Dung,Sai,Sai,Sai,Sai,Sai,Sai,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Sai,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,Dung,"Khong to sbd ky tu thu 1; Khong to sbd ky tu thu 2; Khong to sbd ky tu thu 5; Khong to sbd ky tu thu 6; sbd khong du ky tu: du kien 6, thuc te 2; Cau 2: khong to o nao; Cau 4: khong to o nao; Cau 5: khong to o nao; Cau 6: khong to o nao; Cau 7: khong to o nao; Cau 8: khong to o nao; Cau 9: khong to o nao; Cau 18: khong to o nao; Cau 19: khong to o nao; Cau 20: khong to o nao; Cau 21: khong to o nao; Cau 22: khong to o nao; Cau 23: khong to o nao; Cau 24: khong to o nao; Cau 25: khong to o nao; Cau 26: khong to o nao; Cau 27: khong to o nao"
